date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:48	24/24	---M--	200	added ('OK')	text/plain	etag:%226785774-18-5cb708b931080%22	http://www.thesixdots.com/robots.txt		(from )
14:55:49	44011/44011	---M-Z	200	added ('OK')	text/html	etag:%226785772-abeb-5d74a941c7d00-gzip%22	http://www.thesixdots.com/	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/index.html	(from )
14:55:50	166696/166696	---M-Z	200	added ('OK')	text/css	etag:%226b836fd-28b28-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/bootstrap/css/bootstrap.min.css	(from http://www.thesixdots.com/)
14:55:52	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%226b839f7-7918-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/fonts/font-awesome.min.css	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/fonts/font-awesome.min.css	(from http://www.thesixdots.com/)
14:55:53	57126/57126	---M-Z	200	added ('OK')	text/css	etag:%226b839f8-df26-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/fonts/fontawesome-all.min.css	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/fonts/fontawesome-all.min.css	(from http://www.thesixdots.com/)
14:55:55	667/667	---M-Z	200	added ('OK')	text/css	etag:%226b83a00-29b-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/fonts/material-icons.min.css	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/fonts/material-icons.min.css	(from http://www.thesixdots.com/)
14:55:55	566/566	---M-Z	200	added ('OK')	text/css	etag:%226b839ff-236-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/fonts/fontawesome5-overrides.min.css	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/fonts/fontawesome5-overrides.min.css	(from http://www.thesixdots.com/)
14:55:55	11757/11757	---M-Z	200	added ('OK')	text/css	etag:%226b8396a-2ded-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/css/404-NOT-FOUND-animated.css	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/css/404-NOT-FOUND-animated.css	(from http://www.thesixdots.com/)
14:55:55	1311/1311	---M-Z	200	added ('OK')	text/css	etag:%226b8396c-51f-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/css/animated-services.css	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/css/animated-services.css	(from http://www.thesixdots.com/)
14:55:56	1112/1112	---M-Z	200	added ('OK')	text/css	etag:%226b83972-458-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/css/Features-Clean.css	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/css/Features-Clean.css	(from http://www.thesixdots.com/)
